month,naics_code,kind_of_business,value
1998-01-01,7224,Drinking places,1108
1998-01-01,7225,Restaurants and other eating places,17721
1998-01-01,722511,Full service restaurants,9109
1998-01-01,"722513, 722514, 722515",Limited service eating places,8612
1997-12-01,no code,"Retail and food services sales, total",271054
1997-12-01,no code,Retail sales and food services excl motor vehicle and parts,220677
1997-12-01,no code,Retail sales and food services excl gasoline stations,254683
1997-12-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,204306
1997-12-01,no code,"Retail sales, total",249389
1997-12-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",199012
1997-12-01,no code,GAFO(1),98314
1997-12-01,441,Motor vehicle and parts dealers,50377
1997-12-01,"44,114,412",Automobile and other motor vehicle dealers,45800
1997-12-01,4411,Automobile dealers,43843
1997-12-01,44111,New car dealers,40469
1997-12-01,44112,Used car dealers,3374
1997-12-01,4413,"Automotive parts, acc., and tire stores",4577
1997-12-01,"442,443","Furniture, home furn, electronics, and appliance stores",18308
1997-12-01,442,Furniture and home furnishings stores,7554
1997-12-01,4421,Furniture stores,4085
1997-12-01,4422,Home furnishings stores,3469
1997-12-01,44221,Floor covering stores,1352
1997-12-01,443,Electronics and appliance stores,10754
1997-12-01,443141,Household appliance stores,1066
1997-12-01,443142,Electronics stores,9688
1997-12-01,444,Building mat. and garden equip. and supplies dealers,15247
1997-12-01,4441,Building mat. and supplies dealers,12747
1997-12-01,44413,Hardware stores,1188
1997-12-01,445,Food and beverage stores,37330
1997-12-01,4451,Grocery stores,32989
1997-12-01,4453,"Beer, wine, and liquor stores",2821
1997-12-01,446,Health and personal care stores,12231
1997-12-01,44611,Pharmacies and drug stores,10389
1997-12-01,447,Gasoline stations,16371
1997-12-01,448,Clothing and clothing access. stores,21118
1997-12-01,4481,Clothing stores,13828
1997-12-01,44811,Men's clothing stores,1474
1997-12-01,44812,Women's clothing stores,3556
1997-12-01,44814,Family clothing stores,6702
1997-12-01,4482,Shoe stores,2377
1997-12-01,44831,Jewelry stores,4658
1997-12-01,451,"Sporting goods, hobby, musical instrument, and book stores",8911
1997-12-01,45111,Sporting goods stores,2846
1997-12-01,45112,"Hobby, toy, and game stores",3643
1997-12-01,451211,Book stores,1765
1997-12-01,452,General merchandise stores,45371
1997-12-01,4521,Department stores,32019
1997-12-01,452111,Department stores(excl. discount department stores),15073
1997-12-01,452112,Discount dept. stores,16946
1997-12-01,4529,Other general merchandise stores,13352
1997-12-01,45291,Warehouse clubs and superstores,9761
1997-12-01,45299,All other gen. merchandise stores,3591
1997-12-01,453,Miscellaneous store retailers,10277
1997-12-01,4532,"Office supplies, stationery, and gift stores",4606
1997-12-01,45321,Office supplies and stationery stores,1690
1997-12-01,45322,"Gift, novelty, and souvenir stores",2916
1997-12-01,45330,Used merchandise stores,891
1997-12-01,454,Nonstore retailers,13848
1997-12-01,4541,Electronic shopping and mail-order houses,8690
1997-12-01,45431,Fuel dealers,2446
1997-12-01,722,Food services and drinking places,21665
1997-12-01,7224,Drinking places,1112
1997-12-01,7225,Restaurants and other eating places,18753
1997-12-01,722511,Full service restaurants,9661
1997-12-01,"722513, 722514, 722515",Limited service eating places,9092
1997-11-01,no code,"Retail and food services sales, total",228284
1997-11-01,no code,Retail sales and food services excl motor vehicle and parts,179711
1997-11-01,no code,Retail sales and food services excl gasoline stations,212278
1997-11-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,163705
1997-11-01,no code,"Retail sales, total",207533
1997-11-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",158960
1997-11-01,no code,GAFO(1),67945
1997-11-01,441,Motor vehicle and parts dealers,48573
1997-11-01,"44,114,412",Automobile and other motor vehicle dealers,43827
1997-11-01,4411,Automobile dealers,41943
1997-11-01,44111,New car dealers,38649
1997-11-01,44112,Used car dealers,3294
1997-11-01,4413,"Automotive parts, acc., and tire stores",4746
1997-11-01,"442,443","Furniture, home furn, electronics, and appliance stores",13853
1997-11-01,442,Furniture and home furnishings stores,6781
1997-11-01,4421,Furniture stores,3862
1997-11-01,4422,Home furnishings stores,2919
1997-11-01,44221,Floor covering stores,1368
1997-11-01,443,Electronics and appliance stores,7072
1997-11-01,443141,Household appliance stores,903
1997-11-01,443142,Electronics stores,6169
1997-11-01,444,Building mat. and garden equip. and supplies dealers,14815
1997-11-01,4441,Building mat. and supplies dealers,12799
1997-11-01,44413,Hardware stores,1141
1997-11-01,445,Food and beverage stores,34128
1997-11-01,4451,Grocery stores,31032
1997-11-01,4453,"Beer, wine, and liquor stores",2082
1997-11-01,446,Health and personal care stores,9716
1997-11-01,44611,Pharmacies and drug stores,8146
1997-11-01,447,Gasoline stations,16006
1997-11-01,448,Clothing and clothing access. stores,13244
1997-11-01,4481,Clothing stores,9522
1997-11-01,44811,Men's clothing stores,987
1997-11-01,44812,Women's clothing stores,2486
1997-11-01,44814,Family clothing stores,4708
1997-11-01,4482,Shoe stores,1778
1997-11-01,44831,Jewelry stores,1799
1997-11-01,451,"Sporting goods, hobby, musical instrument, and book stores",5411
1997-11-01,45111,Sporting goods stores,1651
1997-11-01,45112,"Hobby, toy, and game stores",2009
1997-11-01,451211,Book stores,994
1997-11-01,452,General merchandise stores,32529
1997-11-01,4521,Department stores,22114
1997-11-01,452111,Department stores(excl. discount department stores),9708
1997-11-01,452112,Discount dept. stores,12406
1997-11-01,4529,Other general merchandise stores,10415
1997-11-01,45291,Warehouse clubs and superstores,7734
1997-11-01,45299,All other gen. merchandise stores,2681
1997-11-01,453,Miscellaneous store retailers,7406
1997-11-01,4532,"Office supplies, stationery, and gift stores",2908
1997-11-01,45321,Office supplies and stationery stores,1310
1997-11-01,45322,"Gift, novelty, and souvenir stores",1598
1997-11-01,45330,Used merchandise stores,740
1997-11-01,454,Nonstore retailers,11852
1997-11-01,4541,Electronic shopping and mail-order houses,7029
1997-11-01,45431,Fuel dealers,1920
1997-11-01,722,Food services and drinking places,20751
1997-11-01,7224,Drinking places,1102
1997-11-01,7225,Restaurants and other eating places,17940
1997-11-01,722511,Full service restaurants,9192
1997-11-01,"722513, 722514, 722515",Limited service eating places,8748
1997-10-01,no code,"Retail and food services sales, total",232251
1997-10-01,no code,Retail sales and food services excl motor vehicle and parts,176680
1997-10-01,no code,Retail sales and food services excl gasoline stations,215089
1997-10-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,159518
1997-10-01,no code,"Retail sales, total",210145
1997-10-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",154574
1997-10-01,no code,GAFO(1),59385
1997-10-01,441,Motor vehicle and parts dealers,55571
1997-10-01,"44,114,412",Automobile and other motor vehicle dealers,50341
1997-10-01,4411,Automobile dealers,47944
1997-10-01,44111,New car dealers,44122
1997-10-01,44112,Used car dealers,3822
1997-10-01,4413,"Automotive parts, acc., and tire stores",5230
1997-10-01,"442,443","Furniture, home furn, electronics, and appliance stores",12540
1997-10-01,442,Furniture and home furnishings stores,6369
1997-10-01,4421,Furniture stores,3605
1997-10-01,4422,Home furnishings stores,2764
1997-10-01,44221,Floor covering stores,1514
1997-10-01,443,Electronics and appliance stores,6171
1997-10-01,443141,Household appliance stores,858
1997-10-01,443142,Electronics stores,5313
1997-10-01,444,Building mat. and garden equip. and supplies dealers,17319
1997-10-01,4441,Building mat. and supplies dealers,15003
1997-10-01,44413,Hardware stores,1245
1997-10-01,445,Food and beverage stores,34401
1997-10-01,4451,Grocery stores,31319
1997-10-01,4453,"Beer, wine, and liquor stores",2050
1997-10-01,446,Health and personal care stores,10028
1997-10-01,44611,Pharmacies and drug stores,8309
1997-10-01,447,Gasoline stations,17162
1997-10-01,448,Clothing and clothing access. stores,11635
1997-10-01,4481,Clothing stores,8436
1997-10-01,44811,Men's clothing stores,870
1997-10-01,44812,Women's clothing stores,2358
1997-10-01,44814,Family clothing stores,3973
1997-10-01,4482,Shoe stores,1689
1997-10-01,44831,Jewelry stores,1395
1997-10-01,451,"Sporting goods, hobby, musical instrument, and book stores",4463
1997-10-01,45111,Sporting goods stores,1521
1997-10-01,45112,"Hobby, toy, and game stores",1141
1997-10-01,451211,Book stores,923
1997-10-01,452,General merchandise stores,27906
1997-10-01,4521,Department stores,18259
1997-10-01,452111,Department stores(excl. discount department stores),7840
1997-10-01,452112,Discount dept. stores,10419
1997-10-01,4529,Other general merchandise stores,9647
1997-10-01,45291,Warehouse clubs and superstores,7186
1997-10-01,45299,All other gen. merchandise stores,2461
1997-10-01,453,Miscellaneous store retailers,7614
1997-10-01,4532,"Office supplies, stationery, and gift stores",2841
1997-10-01,45321,Office supplies and stationery stores,1526
1997-10-01,45322,"Gift, novelty, and souvenir stores",1315
1997-10-01,45330,Used merchandise stores,766
1997-10-01,454,Nonstore retailers,11506
1997-10-01,4541,Electronic shopping and mail-order houses,6693
1997-10-01,45431,Fuel dealers,1752
1997-10-01,722,Food services and drinking places,22106
1997-10-01,7224,Drinking places,1185
1997-10-01,7225,Restaurants and other eating places,19081
1997-10-01,722511,Full service restaurants,9813
1997-10-01,"722513, 722514, 722515",Limited service eating places,9268
1997-09-01,no code,"Retail and food services sales, total",222807
1997-09-01,no code,Retail sales and food services excl motor vehicle and parts,167947
1997-09-01,no code,Retail sales and food services excl gasoline stations,206016
1997-09-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,151156
1997-09-01,no code,"Retail sales, total",201415
1997-09-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",146555
1997-09-01,no code,GAFO(1),55307
1997-09-01,441,Motor vehicle and parts dealers,54860
1997-09-01,"44,114,412",Automobile and other motor vehicle dealers,49851
1997-09-01,4411,Automobile dealers,47367
1997-09-01,44111,New car dealers,43626
1997-09-01,44112,Used car dealers,3741
1997-09-01,4413,"Automotive parts, acc., and tire stores",5009
1997-09-01,"442,443","Furniture, home furn, electronics, and appliance stores",12200
1997-09-01,442,Furniture and home furnishings stores,6094
1997-09-01,4421,Furniture stores,3480
1997-09-01,4422,Home furnishings stores,2614
1997-09-01,44221,Floor covering stores,1451
1997-09-01,443,Electronics and appliance stores,6106
1997-09-01,443141,Household appliance stores,828
1997-09-01,443142,Electronics stores,5278
1997-09-01,444,Building mat. and garden equip. and supplies dealers,16662
1997-09-01,4441,Building mat. and supplies dealers,14506
1997-09-01,44413,Hardware stores,1171
1997-09-01,445,Food and beverage stores,33039
1997-09-01,4451,Grocery stores,30142
1997-09-01,4453,"Beer, wine, and liquor stores",1892
1997-09-01,446,Health and personal care stores,9603
1997-09-01,44611,Pharmacies and drug stores,7930
1997-09-01,447,Gasoline stations,16791
1997-09-01,448,Clothing and clothing access. stores,10942
1997-09-01,4481,Clothing stores,7797
1997-09-01,44811,Men's clothing stores,761
1997-09-01,44812,Women's clothing stores,2265
1997-09-01,44814,Family clothing stores,3558
1997-09-01,4482,Shoe stores,1702
1997-09-01,44831,Jewelry stores,1334
1997-09-01,451,"Sporting goods, hobby, musical instrument, and book stores",4547
1997-09-01,45111,Sporting goods stores,1595
1997-09-01,45112,"Hobby, toy, and game stores",971
1997-09-01,451211,Book stores,1158
1997-09-01,452,General merchandise stores,24928
1997-09-01,4521,Department stores,16229
1997-09-01,452111,Department stores(excl. discount department stores),6984
1997-09-01,452112,Discount dept. stores,9245
1997-09-01,4529,Other general merchandise stores,8699
1997-09-01,45291,Warehouse clubs and superstores,6448
1997-09-01,45299,All other gen. merchandise stores,2251
1997-09-01,453,Miscellaneous store retailers,7565
1997-09-01,4532,"Office supplies, stationery, and gift stores",2690
1997-09-01,45321,Office supplies and stationery stores,1529
1997-09-01,45322,"Gift, novelty, and souvenir stores",1161
1997-09-01,45330,Used merchandise stores,691
1997-09-01,454,Nonstore retailers,10278
1997-09-01,4541,Electronic shopping and mail-order houses,6080
1997-09-01,45431,Fuel dealers,1452
1997-09-01,722,Food services and drinking places,21392
1997-09-01,7224,Drinking places,1109
1997-09-01,7225,Restaurants and other eating places,18434
1997-09-01,722511,Full service restaurants,9505
1997-09-01,"722513, 722514, 722515",Limited service eating places,8929
1997-08-01,no code,"Retail and food services sales, total",235252
1997-08-01,no code,Retail sales and food services excl motor vehicle and parts,177182
1997-08-01,no code,Retail sales and food services excl gasoline stations,217519
1997-08-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,159449
1997-08-01,no code,"Retail sales, total",211952
1997-08-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",153882
1997-08-01,441,Motor vehicle and parts dealers,58070
1997-08-01,"44,114,412",Automobile and other motor vehicle dealers,52861
1997-08-01,4411,Automobile dealers,49949
1997-08-01,44111,New car dealers,46085
1997-08-01,44112,Used car dealers,3864
1997-08-01,4413,"Automotive parts, acc., and tire stores",5209
1997-08-01,"442,443","Furniture, home furn, electronics, and appliance stores",12680
1997-08-01,442,Furniture and home furnishings stores,6263
1997-08-01,4421,Furniture stores,3621
1997-08-01,4422,Home furnishings stores,2642
1997-08-01,44221,Floor covering stores,1355
1997-08-01,443,Electronics and appliance stores,6417
1997-08-01,443141,Household appliance stores,886
1997-08-01,443142,Electronics stores,5531
1997-08-01,444,Building mat. and garden equip. and supplies dealers,16268
1997-08-01,4441,Building mat. and supplies dealers,14189
1997-08-01,44413,Hardware stores,1220
1997-08-01,445,Food and beverage stores,35191
1997-08-01,4451,Grocery stores,32032
1997-08-01,4453,"Beer, wine, and liquor stores",2079
1997-08-01,446,Health and personal care stores,9769
1997-08-01,44611,Pharmacies and drug stores,7997
1997-08-01,447,Gasoline stations,17733
1997-08-01,448,Clothing and clothing access. stores,12461
1997-08-01,4481,Clothing stores,8802
1997-08-01,44811,Men's clothing stores,846
1997-08-01,44812,Women's clothing stores,2334
1997-08-01,44814,Family clothing stores,4202
1997-08-01,4482,Shoe stores,2200
1997-08-01,44831,Jewelry stores,1348
1997-08-01,451,"Sporting goods, hobby, musical instrument, and book stores",4949
1997-08-01,45111,Sporting goods stores,1955
1997-08-01,45112,"Hobby, toy, and game stores",958
1997-08-01,451211,Book stores,1301
1997-08-01,452,General merchandise stores,28066
1997-08-01,4521,Department stores,18633
1997-08-01,452111,Department stores(excl. discount department stores),7924
1997-08-01,452112,Discount dept. stores,10709
1997-08-01,4529,Other general merchandise stores,9433
1997-08-01,45291,Warehouse clubs and superstores,6947
1997-08-01,45299,All other gen. merchandise stores,2486
1997-08-01,453,Miscellaneous store retailers,7661
1997-08-01,4532,"Office supplies, stationery, and gift stores",2811
1997-08-01,45321,Office supplies and stationery stores,1551
1997-08-01,45322,"Gift, novelty, and souvenir stores",1260
1997-08-01,45330,Used merchandise stores,674
1997-08-01,454,Nonstore retailers,9104
1997-08-01,4541,Electronic shopping and mail-order houses,5165
1997-08-01,45431,Fuel dealers,1352
1997-08-01,722,Food services and drinking places,23300
1997-08-01,7224,Drinking places,1212
1997-08-01,7225,Restaurants and other eating places,20287
1997-08-01,722511,Full service restaurants,10481
1997-08-01,"722513, 722514, 722515",Limited service eating places,9806
1997-07-01,no code,"Retail and food services sales, total",231521
1997-07-01,no code,Retail sales and food services excl motor vehicle and parts,173049
1997-07-01,no code,Retail sales and food services excl gasoline stations,214043
1997-07-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,155571
1997-07-01,no code,"Retail sales, total",208856
1997-07-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",150384
1997-07-01,no code,GAFO(1),55712
1997-07-01,441,Motor vehicle and parts dealers,58472
1997-07-01,"44,114,412",Automobile and other motor vehicle dealers,53165
1997-07-01,4411,Automobile dealers,50159
1997-07-01,44111,New car dealers,46093
1997-07-01,44112,Used car dealers,4066
1997-07-01,4413,"Automotive parts, acc., and tire stores",5307
1997-07-01,"442,443","Furniture, home furn, electronics, and appliance stores",12245
1997-07-01,442,Furniture and home furnishings stores,6027
1997-07-01,4421,Furniture stores,3397
1997-07-01,4422,Home furnishings stores,2630
1997-07-01,44221,Floor covering stores,1376
1997-07-01,443,Electronics and appliance stores,6218
1997-07-01,443141,Household appliance stores,970
1997-07-01,443142,Electronics stores,5248
1997-07-01,444,Building mat. and garden equip. and supplies dealers,17455
1997-07-01,4441,Building mat. and supplies dealers,15012
1997-07-01,44413,Hardware stores,1271
1997-07-01,445,Food and beverage stores,35396
1997-07-01,4451,Grocery stores,32232
1997-07-01,4453,"Beer, wine, and liquor stores",2098
1997-07-01,446,Health and personal care stores,9860
1997-07-01,44611,Pharmacies and drug stores,8065
1997-07-01,447,Gasoline stations,17478
1997-07-01,448,Clothing and clothing access. stores,10734
1997-07-01,4481,Clothing stores,7540
1997-07-01,44811,Men's clothing stores,737
1997-07-01,44812,Women's clothing stores,2103
1997-07-01,44814,Family clothing stores,3588
1997-07-01,4482,Shoe stores,1773
1997-07-01,44831,Jewelry stores,1313
1997-07-01,451,"Sporting goods, hobby, musical instrument, and book stores",4298
1997-07-01,45111,Sporting goods stores,1838
1997-07-01,45112,"Hobby, toy, and game stores",963
1997-07-01,451211,Book stores,830
1997-07-01,452,General merchandise stores,25897
1997-07-01,4521,Department stores,16673
1997-07-01,452111,Department stores(excl. discount department stores),6742
1997-07-01,452112,Discount dept. stores,9931
1997-07-01,4529,Other general merchandise stores,9224
1997-07-01,45291,Warehouse clubs and superstores,6817
1997-07-01,45299,All other gen. merchandise stores,2407
1997-08-01,44819,Other clothing stores,
1997-07-01,453,Miscellaneous store retailers,7526
1997-07-01,4532,"Office supplies, stationery, and gift stores",2538
1997-07-01,45321,Office supplies and stationery stores,1330
1997-07-01,45322,"Gift, novelty, and souvenir stores",1208
1997-07-01,45330,Used merchandise stores,667
1997-07-01,4541,Electronic shopping and mail-order houses,5198
1997-07-01,45431,Fuel dealers,1273
1997-07-01,722,Food services and drinking places,22665
1997-07-01,7224,Drinking places,1175
1997-07-01,7225,Restaurants and other eating places,19737
1997-07-01,722511,Full service restaurants,10036
1997-07-01,"722513, 722514, 722515",Limited service eating places,9701
1997-06-01,no code,"Retail and food services sales, total",227365
1997-06-01,no code,Retail sales and food services excl motor vehicle and parts,169901
1997-06-01,no code,Retail sales and food services excl gasoline stations,210316
1997-06-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,152852
1997-06-01,no code,"Retail sales, total",205491
1997-06-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",148027
1997-06-01,no code,GAFO(1),55641
1997-06-01,441,Motor vehicle and parts dealers,57464
1997-06-01,"44,114,412",Automobile and other motor vehicle dealers,52422
1997-06-01,4411,Automobile dealers,49284
1997-06-01,44111,New car dealers,45196
1997-06-01,44112,Used car dealers,4088
1997-06-01,4413,"Automotive parts, acc., and tire stores",5042
1997-06-01,"442,443","Furniture, home furn, electronics, and appliance stores",11781
1997-06-01,442,Furniture and home furnishings stores,5805
1997-06-01,4421,Furniture stores,3343
1997-06-01,4422,Home furnishings stores,2462
1997-06-01,44221,Floor covering stores,1362
1997-06-01,443,Electronics and appliance stores,5976
1997-06-01,443141,Household appliance stores,919
1997-06-01,443142,Electronics stores,5057
1997-06-01,444,Building mat. and garden equip. and supplies dealers,17601
1997-06-01,4441,Building mat. and supplies dealers,14716
1997-06-01,44413,Hardware stores,1296
1997-06-01,445,Food and beverage stores,33570
1997-06-01,4451,Grocery stores,30527
1997-06-01,4453,"Beer, wine, and liquor stores",2002
1997-06-01,446,Health and personal care stores,9728
1997-06-01,44611,Pharmacies and drug stores,7968
1997-06-01,447,Gasoline stations,17049
1997-06-01,448,Clothing and clothing access. stores,10654
1997-06-01,4481,Clothing stores,7444
1997-06-01,44811,Men's clothing stores,793
1997-06-01,44812,Women's clothing stores,2199
1997-06-01,44814,Family clothing stores,3404
1997-06-01,4482,Shoe stores,1770
1997-06-01,44831,Jewelry stores,1330
1997-06-01,451,"Sporting goods, hobby, musical instrument, and book stores",4456
1997-06-01,45111,Sporting goods stores,1970
1997-06-01,45112,"Hobby, toy, and game stores",940
1997-06-01,451211,Book stores,875
1997-06-01,452,General merchandise stores,26328
1997-06-01,4521,Department stores,17259
1997-06-01,452111,Department stores(excl. discount department stores),6974
1997-06-01,452112,Discount dept. stores,10285
1997-06-01,4529,Other general merchandise stores,9069
1997-06-01,45291,Warehouse clubs and superstores,6697
1997-06-01,45299,All other gen. merchandise stores,2372
1997-06-01,453,Miscellaneous store retailers,7464
1997-06-01,4532,"Office supplies, stationery, and gift stores",2422
1997-06-01,45321,Office supplies and stationery stores,1234
1997-06-01,45322,"Gift, novelty, and souvenir stores",1188
1997-06-01,45330,Used merchandise stores,584
1997-06-01,454,Nonstore retailers,9396
1997-06-01,4541,Electronic shopping and mail-order houses,5204
1997-06-01,45431,Fuel dealers,1256
1997-06-01,722,Food services and drinking places,21874
1997-06-01,7224,Drinking places,1094
1997-06-01,7225,Restaurants and other eating places,18986
1997-06-01,722511,Full service restaurants,9428
1997-06-01,"722513, 722514, 722515",Limited service eating places,9558
1997-05-01,no code,"Retail and food services sales, total",234190
1997-05-01,no code,Retail sales and food services excl motor vehicle and parts,176251
1997-05-01,no code,Retail sales and food services excl gasoline stations,216874
1997-05-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,158935
1997-05-01,no code,"Retail sales, total",211516
1997-05-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",153577
1997-05-01,no code,GAFO(1),57737
1997-05-01,441,Motor vehicle and parts dealers,57939
1997-05-01,"44,114,412",Automobile and other motor vehicle dealers,52905
1997-05-01,4411,Automobile dealers,49695
1997-05-01,44111,New car dealers,45673
1997-05-01,44112,Used car dealers,4022
1997-05-01,4413,"Automotive parts, acc., and tire stores",5034
1997-05-01,"442,443","Furniture, home furn, electronics, and appliance stores",11904
1997-05-01,442,Furniture and home furnishings stores,6010
1997-05-01,4421,Furniture stores,3519
1997-05-01,4422,Home furnishings stores,2491
1997-05-01,44221,Floor covering stores,1340
1997-05-01,443,Electronics and appliance stores,5894
1997-05-01,443141,Household appliance stores,841
1997-05-01,443142,Electronics stores,5053
1997-05-01,444,Building mat. and garden equip. and supplies dealers,18390
1997-05-01,4441,Building mat. and supplies dealers,14943
1997-05-01,44413,Hardware stores,1332
1997-05-01,445,Food and beverage stores,35522
1997-05-01,4451,Grocery stores,32412
1997-05-01,4453,"Beer, wine, and liquor stores",2060
1997-05-01,446,Health and personal care stores,9965
1997-05-01,44611,Pharmacies and drug stores,8300
1997-05-01,447,Gasoline stations,17316
1996-03-01,452112,Discount dept. stores,9025
1997-05-01,448,Clothing and clothing access. stores,11505
1997-05-01,4481,Clothing stores,7916
1997-05-01,44811,Men's clothing stores,809
1997-05-01,44812,Women's clothing stores,2429
1997-05-01,44814,Family clothing stores,3539
1997-05-01,4482,Shoe stores,1888
1997-05-01,44831,Jewelry stores,1585
1997-05-01,451,"Sporting goods, hobby, musical instrument, and book stores",4372
1997-05-01,45111,Sporting goods stores,1788
1997-05-01,45112,"Hobby, toy, and game stores",947
1997-05-01,451211,Book stores,894
1997-05-01,452,General merchandise stores,27443
1997-05-01,4521,Department stores,18118
1997-05-01,452111,Department stores(excl. discount department stores),7475
1997-05-01,452112,Discount dept. stores,10643
1997-05-01,4529,Other general merchandise stores,9325
1997-05-01,45291,Warehouse clubs and superstores,6852
1997-05-01,45299,All other gen. merchandise stores,2473
1997-05-01,453,Miscellaneous store retailers,7465
1997-05-01,4532,"Office supplies, stationery, and gift stores",2513
1997-05-01,45321,Office supplies and stationery stores,1291
1997-05-01,45322,"Gift, novelty, and souvenir stores",1222
1997-05-01,45330,Used merchandise stores,558
1997-05-01,454,Nonstore retailers,9695
1997-05-01,4541,Electronic shopping and mail-order houses,5304
1997-05-01,45431,Fuel dealers,1461
1997-05-01,722,Food services and drinking places,22674
1997-05-01,7224,Drinking places,1143
1997-05-01,7225,Restaurants and other eating places,19759
1997-05-01,722511,Full service restaurants,9942
1997-05-01,"722513, 722514, 722515",Limited service eating places,9817
1997-04-01,no code,"Retail and food services sales, total",220329
1997-04-01,no code,Retail sales and food services excl motor vehicle and parts,164024
1997-04-01,no code,Retail sales and food services excl gasoline stations,203965
1997-04-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,147660
1997-04-01,no code,"Retail sales, total",199219
1997-04-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",142914
1997-04-01,no code,GAFO(1),52639
1997-04-01,441,Motor vehicle and parts dealers,56305
1997-04-01,"44,114,412",Automobile and other motor vehicle dealers,51308
1997-04-01,4411,Automobile dealers,48221
1997-04-01,44111,New car dealers,44106
1997-04-01,44112,Used car dealers,4115
1997-04-01,4413,"Automotive parts, acc., and tire stores",4997
1997-04-01,"442,443","Furniture, home furn, electronics, and appliance stores",11351
1997-04-01,442,Furniture and home furnishings stores,5670
1997-04-01,4421,Furniture stores,3250
1997-04-01,4422,Home furnishings stores,2420
1997-04-01,44221,Floor covering stores,1345
1997-04-01,443,Electronics and appliance stores,5681
1997-04-01,443141,Household appliance stores,792
1997-04-01,443142,Electronics stores,4889
1997-04-01,444,Building mat. and garden equip. and supplies dealers,17183
1997-04-01,4441,Building mat. and supplies dealers,14083
1997-04-01,44413,Hardware stores,1196
1997-04-01,445,Food and beverage stores,32637
1997-04-01,4451,Grocery stores,29853
1997-04-01,4453,"Beer, wine, and liquor stores",1817
1997-04-01,446,Health and personal care stores,9482
1997-04-01,44611,Pharmacies and drug stores,7885
1997-04-01,447,Gasoline stations,16364
1997-04-01,448,Clothing and clothing access. stores,10131
1997-04-01,4481,Clothing stores,7110
1997-04-01,44811,Men's clothing stores,716
1997-04-01,44812,Women's clothing stores,2227
1997-04-01,44814,Family clothing stores,3144
1997-04-01,4482,Shoe stores,1663
1997-04-01,44831,Jewelry stores,1258
1997-04-01,451,"Sporting goods, hobby, musical instrument, and book stores",4177
1997-04-01,45111,Sporting goods stores,1726
1997-04-01,45112,"Hobby, toy, and game stores",896
1997-04-01,451211,Book stores,806
1997-04-01,452,General merchandise stores,24490
1997-04-01,4521,Department stores,16180
1997-04-01,452111,Department stores(excl. discount department stores),6714
1997-04-01,452112,Discount dept. stores,9466
1997-04-01,4529,Other general merchandise stores,8310
1997-04-01,45291,Warehouse clubs and superstores,6104
1997-04-01,45299,All other gen. merchandise stores,2206
1997-04-01,453,Miscellaneous store retailers,7035
1997-04-01,4532,"Office supplies, stationery, and gift stores",2490
1997-04-01,45321,Office supplies and stationery stores,1345
1997-04-01,45322,"Gift, novelty, and souvenir stores",1145
1997-04-01,45330,Used merchandise stores,559
1997-04-01,454,Nonstore retailers,10064
1997-04-01,4541,Electronic shopping and mail-order houses,5491
1997-04-01,45431,Fuel dealers,1706
1997-04-01,722,Food services and drinking places,21110
1997-04-01,7224,Drinking places,1094
1997-04-01,7225,Restaurants and other eating places,18361
1997-04-01,722511,Full service restaurants,9301
1997-04-01,"722513, 722514, 722515",Limited service eating places,9060
1997-03-01,no code,"Retail and food services sales, total",225133
1997-03-01,no code,Retail sales and food services excl motor vehicle and parts,167468
1997-03-01,no code,Retail sales and food services excl gasoline stations,208571
1997-03-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,150906
1997-03-01,no code,"Retail sales, total",203750
1997-03-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",146085
1997-03-01,no code,GAFO(1),55045
1997-03-01,441,Motor vehicle and parts dealers,57665
1997-03-01,"44,114,412",Automobile and other motor vehicle dealers,52878
1997-03-01,4411,Automobile dealers,50056
1997-03-01,44111,New car dealers,45967
1997-03-01,44112,Used car dealers,4089
1997-03-01,4413,"Automotive parts, acc., and tire stores",4787
1997-03-01,"442,443","Furniture, home furn, electronics, and appliance stores",11719
1995-11-01,4422,Home furnishings stores,2673
1997-03-01,442,Furniture and home furnishings stores,5715
1997-03-01,4421,Furniture stores,3368
1997-03-01,4422,Home furnishings stores,2347
1997-03-01,44221,Floor covering stores,1298
1997-03-01,443,Electronics and appliance stores,6004
